recipient_name,Major_Inclusion_Employment,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Saint Vincent and the Grenadines,0,0,0,3.0785561,0,0,0,0,83.985837892767
Samoa,3.305486,0.25803091,0,0.499273121,0,3.82816787,0,6.57525171,644.496688155288
Sao Tome and Principe,0,0,0,0.058772598,0,0,0,0,284.358435433978
Senegal,0,0.518638,0.00705737,1.46710059,1.65977,9.3250588,0.0884357,3.74478647,6012.19375002548
Serbia,0.31174874,5.17246906,0.20020546,3.514946519,0.28009241,4.4759606,1.1472951,9.852699255,6311.64415365508
Seychelles,0,0.00399955,0,0.02003537,0,0,0,0.00948256,133.35929374899
Sierra Leone,0.74764183,0.717820657,0.01934522,4.392067415,1.1566544,0.638031865,0.0099304,3.914938387,3974.46523478791
Solomon Islands,0,0.2793913,0,0.842819361,0,1.44428777,0,2.40612231,1276.6067135827
Somalia,0.01635879,1.143620621,0.02107858,1.32919103,0,3.43123458,0,4.57254729,6814.05301553641
"South & Central Asia, regional",0,0,0,0.6687272,0,0.009599397,0,0,856.0424287596
South Africa,0,0.39430484,0.0576737,5.58375017,0.00191766,0.31693517,3.64330624,19.43290062,7711.29580655472
"South America, regional",0,2.9467653,0,0.6829998,0.09360439,0.009599397,0.01730073,2.72295926,1857.55605378999
"South Asia, regional",0,0.517425,0.0161513,2.57855073,0,0.4034094,0,0.9794627627,678.171457529212
South Sudan,0,2.209195,0,1.29609427,3.278703,2.9158419,0.131881,9.4106662,9707.84463933508
"South of Sahara, regional",0.0737499,4.5627395,0,11.9372595184,0.0069998,4.245039354,10.23557,78.48525555,15886.0714686901
Sri Lanka,0.0743485,0.74638235,0.01894903,4.76077326,0,6.311297119,0.2347034,11.18633928,4981.0028478816
States Ex-Yugoslavia unspecified,0,0,0,0,0,0.047817,0,0,32.3117758477
Sudan,0,4.632070817,0,2.90306946,0.281817,4.5897612,0.064134,22.783662774,6439.23284957946
Suriname,0,0,0,0.1117945,0,0.00138708,0,0,141.67703147766
Syrian Arab Republic,0,2.3635884,0.37465,16.02568906,4.15993,2.43490904,0.365912,30.0273729606,27746.5584063226
Tajikistan,0,4.192274519,0.022608564,3.531815713,0,2.329320081,0.0363763,2.45455248,2332.62326197012
Tanzania,0.0112718,2.334332982,0.43760041,9.3073167599,4.52301573,6.448201013,0.437547336,347.324057846,16045.9646701873
Thailand,0,1.202351696,0.26441711,2.123994437,0.0081676,1.634005481,0.00971387,2.771488669,3239.50417653575
Timor-Leste,0,0.4120584,0,1.773766181,0,0.7950979,0,21.5468734,1362.00059506457
Togo,0,1.55534585,0.2373097,0.879372586,0,0.27270863,0,4.5229452327,1464.34818931974
